chain,address,categories,entity,source,your_category
bitcoin_mainnet,1p8xzakjn4sksjqr2e17chytzzpmf9a2m6,cex,,external,exchange
ethereum_mainnet,0xda60b01427415b559e187b36409ccf1fc60fc465,"cex,smart_contract",gemini,ground_truth,exchange
ethereum_mainnet,0xcae6c5eac2418e72efa6973fea932d5b540e60c8,exchange,binance,heuristic,exchange
ethereum_mainnet,0x957bd543865ce2afdffb8fbb9cd40a622afe4bf0,"cex,exchange",binance,heuristic,exchange
bitcoin_mainnet,1a8omn7prfq5ftkzkpssw1uuudxi81hef9,cex,,external,exchange
ethereum_mainnet,0x71a6df9d6008c728037d3b825a6f98a72ca75a36,exchange,binance,heuristic,exchange
bitcoin_mainnet,1hlcghn8lkyvrekpquvnselzv73gz9vgw2,cex,,heuristic,exchange
bitcoin_mainnet,bc1qchmqphfqlwf8ef6sqyvugqpfctd2595xm2l6eu,cex,binance,external,exchange
ethereum_mainnet,0x5c07c77971a1734add8e34c47194fba855ab44fa,exchange,binance,heuristic,exchange
ethereum_mainnet,0x70bed3e1ed8ca2cd0accaa656888a8f8f52abcab,cex,bybit,ground_truth,exchange
ethereum_mainnet,0x6816a29c93747739383aaaf238529a7633286d4b,exchange,binance,heuristic,exchange
ethereum_mainnet,0x19fd8b4f5d2d85b4bfb289870edf3eb3af14f66e,exchange,binance,heuristic,exchange
ethereum_mainnet,0x2ba9f9f61293677251c2cba7216407cf346df4e9,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0x6219f8097b85a9702b3fe48f357d7ebd79e3e989,exchange,binance,heuristic,exchange
ethereum_mainnet,0x4dc1d97b825e96e18c02addeb054e20eda101e8e,"cex,exchange",binance,heuristic,exchange
bitcoin_mainnet,3cpmuwmqularnvcwt8s7ncdizlaywnnnqf,cex,btcturk,external,exchange
ethereum_mainnet,0xda7416ce733a1dde27ac681943308c6f2f1b32bf,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0xfad4e35ca4899d0aa474c47c7715823a938d30c0,exchange,binance,heuristic,exchange
bitcoin_mainnet,bc1qdc40cukf6vrw8ahutmzyq3kp4r7nmtrydecj2j,cex,coinbase,heuristic,exchange
ethereum_mainnet,0x78ba7500d757acfc36386b26a80cf2fab194126f,exchange,binance,heuristic,exchange
ethereum_mainnet,0x0eb7336847fa19cdc08a8cef1052a4f36d0629dd,exchange,binance,heuristic,exchange
ethereum_mainnet,0x043245da1d823db65d72f576b6cb817ffc17c71d,exchange,binance,heuristic,exchange
ethereum_mainnet,0x7b17ba331829e712c407eab1a6e3338b04cb410d,cex,kucoin,external,exchange
ethereum_mainnet,0xcfb121a9dea55667c7f5c9bc831068bf494c5ab4,cex,kucoin,ground_truth,exchange
ethereum_mainnet,0xf079d7bdff82eb78074062527ac41ffd528ebcb8,"dex,liquid_staking",uniswap,ground_truth,exchange
bitcoin_mainnet,1ckytpy7vqtphwape8ufxskg63as2l7yky,cex,binance,external,exchange
ethereum_mainnet,0x6db796bd68bd42aa90110df0399d9041293b5445,exchange,binance,heuristic,exchange
ethereum_mainnet,0xa38e165f4aab6e44b88ce7f7bd5e52c24fa41319,cex,bybit,external,exchange
ethereum_mainnet,0x7dbe08011d834632c82352b019cc96ec08061a10,exchange,binance,heuristic,exchange
ethereum_mainnet,0x1f5e594faceec3350fc089dc7e1993bb8de65492,exchange,binance,heuristic,exchange
ethereum_mainnet,0x41b04be16b280febb8131c4d1a7d6dbe0509e58a,exchange,binance,heuristic,exchange
ethereum_mainnet,0xdb6bce90538fc4ef45ea8d7cf9c4f5dae7b25a2d,exchange,binance,heuristic,exchange
bitcoin_mainnet,1np7vy1ssncbybeweyw8fb6aknjzfjgclv,cex,,external,exchange
ethereum_mainnet,0x7ae1001a95fe2037047fbdcaf72f7abec3f7c9ef,cex,okex,external,exchange
ethereum_mainnet,0x773dca7f53ee4c102a978ec94fd605ca75d67f64,cex,kucoin,external,exchange
ethereum_mainnet,0xeaa7c21b8a0e6bc6a139f9b72893ebca78039f8a,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0xac0e1b8fe1f9feff77e7acb0c5d39eaeb954d97d,exchange,binance,heuristic,exchange
ethereum_mainnet,0x26130bf2913951199d88790604431a7f049fce36,exchange,binance,heuristic,exchange
bitcoin_mainnet,1pz22r1r9nagsfkapxhsdnp3y9tqrnm9qy,cex,,heuristic,exchange
ethereum_mainnet,0x9b89eebbcabf172c9f996567e00f82bcb4a87f49,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0xf2105b6a7ffbe98b420b7bfd4eba9a68e76feca0,exchange,binance,heuristic,exchange
ethereum_mainnet,0xcbeb9c93f35ae2188dceb6b395d6baea3b82f0d4,exchange,binance,heuristic,exchange
ethereum_mainnet,0xb37d9e479ff9364eb156c8138f5e465630fcff25,"dex,liquid_staking,smart_contract",uniswap,ground_truth,exchange
bitcoin_mainnet,3647yulqapb9bvcxuhsmsohlbqxryovboy,cex,luno,external,exchange
ethereum_mainnet,0x7b1108a8ff9f0b35183cf16f3fd36278cb6f6db7,exchange,binance,heuristic,exchange
bitcoin_mainnet,19qvyzahviy5vi9uwwqm7ycgpgm4c3den5,cex,,external,exchange
bitcoin_mainnet,34mlhprinzzlwumhssum36lpcqtzxb4djn,cex,coinbase,heuristic,exchange
bitcoin_mainnet,19ncnc9ipvz4vandwbmf8bfzfp2xvyg87i,cex,,external,exchange
bitcoin_mainnet,1nfdsiwpj3fb3jh98vbp7qkjwxtw2nccao,cex,,external,exchange
ethereum_mainnet,0x48a2e85788aa01b91c756cd3e011024f2f5560f8,exchange,binance,heuristic,exchange
bitcoin_mainnet,1nu69w2jg4wvauqkszktwe648yn7ykxfp,cex,,external,exchange
ethereum_mainnet,0x8435bc736d3771a1893e2e59a5ddcb592b55efb9,exchange,binance,heuristic,exchange
bitcoin_mainnet,38dvnwmusf2uolsq68fbtbncqgbtrtqnkg,cex,coinbase,external,exchange
ethereum_mainnet,0x933f5b2c5e471df7d6cfb311bf95b8b9e56408b2,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0x42bedb832164582e84549d2b7e00ad5ada8a6abf,"exchange,payments",coinbase_commerce,heuristic,exchange
ethereum_mainnet,0x7d3cedcf5c382f8fe855b5b0ea9b956a43d02d94,cex,paribu,external,exchange
ethereum_mainnet,0x5c91cfa11f793d4529aa5e559b327c68eee3bd56,exchange,binance,heuristic,exchange
ethereum_mainnet,0x66e8cb532e00c75b4bccd9b38acd004ade3fe2b1,exchange,binance,heuristic,exchange
ethereum_mainnet,0xec5c8b3b4061bfa96160d087d2fc6b26b3097ee8,cex,mxc,ground_truth,exchange
ethereum_mainnet,0xce46b7f444bb5d2788fcb4c6feec5a0f0de7c63c,exchange,binance,heuristic,exchange
ethereum_mainnet,0x5f14ea06ae83cd6f244d621c889947e0a6a6fb2e,exchange,binance,heuristic,exchange
ethereum_mainnet,0x928bb28cfd3aeb0a30363278c0c9ef36b95b5198,cex,bitrue,external,exchange
ethereum_mainnet,0x42639ad0ca79f36805617159d8caaa501f105051,exchange,binance,heuristic,exchange
ethereum_mainnet,0x65b5450fddf29fb9f740ebe8b3c09b3e4f5e7195,exchange,binance,heuristic,exchange
ethereum_mainnet,0xe393c22f67b9dcc36f8b7948411e137f15a099b1,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0xb670583902cbfff75a81dec228e0a66ef938cd83,exchange,binance,heuristic,exchange
bitcoin_mainnet,1c1scfyrhbclx8qvy5p5ws4igil7kyb67j,cex,binance,external,exchange
ethereum_mainnet,0x650a59cf60ab5a10a1f4588fd0fde8a4e2e79052,cex,binance,ground_truth,exchange
ethereum_mainnet,0xe5baffe97ca908ac4baa7fe59557b03c7d8bcf5b,"cex,exchange",binance,heuristic,exchange
bitcoin_mainnet,3fdvpsw8agvytvezd8tymqw7k6gvxegjmd,cex,paxful,external,exchange
ethereum_mainnet,0xd01ab58160983a3cb50124ce7e835c282304daad,exchange,binance,heuristic,exchange
ethereum_mainnet,0xa6ce95adde010c7a7ebde25ac7b439c4f8c9bb23,cex,kucoin,external,exchange
ethereum_mainnet,0xe33fa81fb9bfaf2763db081715785be51e3c32c6,exchange,binance,heuristic,exchange
ethereum_mainnet,0x92f5748f8d30a97bd69a6646aa0c6c8004a9c1e5,exchange,binance,heuristic,exchange
ethereum_mainnet,0x335fb2d8e0b22b284ceb98ad5cbc587e4333b388,exchange,binance,heuristic,exchange
ethereum_mainnet,0x00ef311d6be22d8944dcdcd3f48941438b9245fe,cex,hoo,external,exchange
bitcoin_mainnet,18s8zqnqngt2u31k4ncmhzmcr2kxyp6dvm,cex,,external,exchange
ethereum_mainnet,0xbfe30f392e828d773a5d88aab2fa9b23d663ce06,exchange,binance,heuristic,exchange
bitcoin_mainnet,18vxgepotwosjvd51fyearazgmr7dgauej,cex,,external,exchange
ethereum_mainnet,0xd6239bdd63d5fa834fd72d50b60cc4b8742430d4,cex,bitmart,external,exchange
ethereum_mainnet,0x656a57c8dfeaf08b793b05a7b7594cfcc08d1cde,cex,zb_com,ground_truth,exchange
ethereum_mainnet,0xddeb29767721294629f2847f7ba8b099179ad9ae,exchange,binance,heuristic,exchange
ethereum_mainnet,0xb5391d33e67c6642fc24dfd996e04e78d84ab6f2,cex,okex,external,exchange
ethereum_mainnet,0x130fad3b3886930d5a0f51e9e796e48550773dea,exchange,binance,heuristic,exchange
ethereum_mainnet,0xc1bf66e09b551c3986cd04f0e804cff10affe9c8,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0x1f38fc9abdccfed6c8956976242dca6266240f34,exchange,binance,heuristic,exchange
bitcoin_mainnet,1fmpajteevwsbkidzxcsdkqgd7rdexx1xf,cex,hotbit,external,exchange
ethereum_mainnet,0x453b37cce02c8b32f4fab3fb1b741fc3d8d0dace,exchange,binance,heuristic,exchange
ethereum_mainnet,0xc871839b77ac6ed09f641f84f80b0bfc686a57d7,cex,kucoin,external,exchange
ethereum_mainnet,0x01aaa2fcfa5731b825ea7ce2fb9f06a4a81211e0,exchange,binance,heuristic,exchange
ethereum_mainnet,0x7e0452f643f3b99aa409338665004bb1a208aad4,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0x376011b5b1ea42dc82d4b43e88c3f934581d2b11,cex,coinbase,external,exchange
ethereum_mainnet,0x1279c40826f5200a67d7312a758f4bf4e1efbe06,exchange,binance,heuristic,exchange
ethereum_mainnet,0xa34c5f1a7b86289ac8db26ecdfa721ff3dcf33eb,exchange,binance,heuristic,exchange
ethereum_mainnet,0xc2c045071de860447a5195c6b9d1c2e552fca293,cex,okex,ground_truth,exchange
ethereum_mainnet,0x9f079860a410034924280877308685ccfc70012a,exchange,binance,heuristic,exchange
ethereum_mainnet,0xb22b32e7130417d557da45ac99efb44aec824fa2,exchange,binance,heuristic,exchange
ethereum_mainnet,0x4d7f388fb78c0b50cce2cfc837b1058324d73d18,cex,celsius,ground_truth,exchange
ethereum_mainnet,0x4e69037517e279e062962430efd84d2f5c444798,exchange,binance,heuristic,exchange
ethereum_mainnet,0xbac232ac32471eb8b6d4e788d7e51411b2dc6558,exchange,binance,heuristic,exchange
ethereum_mainnet,0x53e9145150fe6867997810195fb9adc268e0ec78,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0x367e414a101057aa4872d5d291a1f941df207598,"cex,cold_storage",,heuristic,exchange
ethereum_mainnet,0x9c283d82ac6ecca86a7b310ea93c2e6914504c5b,dex,uniswap,ground_truth,exchange
ethereum_mainnet,0x288571a3573b19d800004fc13334eec5d5dc5f1c,exchange,binance,heuristic,exchange
ethereum_mainnet,0x93850dd5359dda9887fb9a90146f53affef744e9,cex,ftx,external,exchange
ethereum_mainnet,0x688566a9b15171fa1d37b986a0cf9b9440486b5b,cex,coinbase,external,exchange
ethereum_mainnet,0xf314577e9b9a14395f522c8f5c065f7057fa3a55,exchange,binance,heuristic,exchange
ethereum_mainnet,0xb2948e0249caee8b45ac2248c4fa98694edcf47f,cex,mxc,ground_truth,exchange
bitcoin_mainnet,1akxdsljk1ah28owdzjmz7bklej492hvph,cex,,external,exchange
ethereum_mainnet,0x463355bfb201dc9390a6aee498bd8dcd7c9dc9d3,exchange,binance,heuristic,exchange
ethereum_mainnet,0xf369e26cc07ca6127d47f43a41494b500f696bf4,exchange,binance,heuristic,exchange
ethereum_mainnet,0xdf3d5f6f7d7e4e073a68a08a5f2d264f7a3f68a5,exchange,paribu,ground_truth,exchange
bitcoin_mainnet,1m2sjthmx4dofuarkqpxavn1kyynbkww5p,cex,binance,external,exchange
ethereum_mainnet,0x9a348e31e91ac3ca44e285b3ff4065ce1912520d,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0xdd9bd791a9eaed7c5bf66550d780e9a1cbc0efda,exchange,binance,heuristic,exchange
ethereum_mainnet,0x6b3c5522b6a4fcf28db150b5dbe1f8c51d9fc9d7,exchange,binance,heuristic,exchange
bitcoin_mainnet,1gfyvqjxus3qx7hxsew7gcoydjjwefdmr,cex,,external,exchange
bitcoin_mainnet,35gotqvsnehvjbye85sejptkjxxq7hg2bb,cex,coinbase,external,exchange
ethereum_mainnet,0x870236f189944b6e8c60ec8dae071e91cf088094,exchange,binance,heuristic,exchange
ethereum_mainnet,0x6c7a4a0b8966ed7073c1f38664fcf1a23846317c,exchange,binance,heuristic,exchange
ethereum_mainnet,0xdd9946a219d9c0131b053c7ed2de5ef01dba6576,exchange,binance,heuristic,exchange
ethereum_mainnet,0xfaf0708d1aed2566205d61f471d7e4aeb10910ea,"business_or_services,dex",airswap,external,exchange
ethereum_mainnet,0x0f21c95ba84a3aafbe9dfe1beb467d2ac95e51de,exchange,binance,heuristic,exchange
ethereum_mainnet,0xa200fef1c1679dd17627cb667efa9b54808f394f,cex,ftx,ground_truth,exchange
ethereum_mainnet,0xd6c8b8029cf41d7b7e31e5d121b9d4cec300d9ae,exchange,binance,heuristic,exchange
ethereum_mainnet,0x1d85db2cb462f700620c1806ca2ca31e1f559d7e,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0xa124b02a0fde615c3f8dfcc247c6202a159c4e97,cex,kucoin,external,exchange
ethereum_mainnet,0x269fa1e73165bb13c75136886117751309f13fe3,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0x177c1a0632c320c12f1089111717f9e29134bd4b,cex,binance,ground_truth,exchange
ethereum_mainnet,0xb142b2efe320ec2814495caba167c8ab14eb7969,"cex,exchange",binance,heuristic,exchange
bitcoin_mainnet,19nendbzl443tm7jfvnjyfemetehjjp7c,cex,,external,exchange
bitcoin_mainnet,3f9ap9bpqrgu9whgbxy8y1kmhq8zra84vm,cex,coinbase,heuristic,exchange
ethereum_mainnet,0x5f480e86aea984d53b5af807cb2a339f11729975,exchange,binance,heuristic,exchange
bitcoin_mainnet,19scuqazyrpxobab2x2xkjpcnyojiluluc,cex,,external,exchange
ethereum_mainnet,0x1e0cf1b51a2605b184f05218491ef07685a293f8,exchange,binance,heuristic,exchange
ethereum_mainnet,0x8065b0abaffd06768a2f88cc1adf2f5c6af07001,exchange,binance,heuristic,exchange
ethereum_mainnet,0xf615a2ec89b7d7e9226bfad0f937f4fe180fcac3,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0xa72a3024746dbd74bda8c13f6f99f0a0d2f75501,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0x582f2a680ef6070cf8869d0706a7a69c9448a2c5,exchange,binance,heuristic,exchange
ethereum_mainnet,0x549b0a0ae5092cfdd72240235b16d7e1339ad804,exchange,binance,heuristic,exchange
ethereum_mainnet,0x15b5fb51fa6257d39eeb350ef54c1be86139fc09,exchange,binance,heuristic,exchange
ethereum_mainnet,0x1545b1ad05d9329df3531e699ca4f6b64c3d9ac7,exchange,binance,heuristic,exchange
ethereum_mainnet,0x2f05afcc3e6d4b988b31ab51944936e97d88bf72,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0x6d48744e7589bc7aac79be35059ea775d1c04dba,"cex,exchange",binance,heuristic,exchange
bitcoin_mainnet,3g9rmvwlhx698cbuztsg51knae7rs9glo6,cex,coinbase,heuristic,exchange
bitcoin_mainnet,19mxwkocbdsdshlcb8gbvvhd3dpczhonde,cex,,external,exchange
ethereum_mainnet,0x3c10784774fc6b24aa9717eb604b3e09224a87a8,exchange,binance,heuristic,exchange
ethereum_mainnet,0xd40d1c608ea8a7e78feb20ca1fde113cbf26ff71,cex,coinbase,ground_truth,exchange
bitcoin_mainnet,14pppuvnsybnj7zqwdeqphnmusdcptl2hj,cex,,heuristic,exchange
ethereum_mainnet,0xd204539b8d8a7bd25515bdd8f73dc4bfa6ecc005,exchange,binance,heuristic,exchange
ethereum_mainnet,0xe98c80ed7c3f6bae46e3aa3940e392a519f307be,exchange,binance,heuristic,exchange
ethereum_mainnet,0xaa34ce5ff4973bcbfa62a55ec20604a2e23d5d80,exchange,binance,heuristic,exchange
bitcoin_mainnet,3h1pvq4wrjbur89ejkjrd8fywkpsgqnrvg,cex,cryptopay,external,exchange
ethereum_mainnet,0x06a29caab9261c5b49030ebc625590909e869148,exchange,binance,heuristic,exchange
ethereum_mainnet,0x865f5208f7b58f22aefa5519722a4aa63cc6ae58,exchange,binance,heuristic,exchange
ethereum_mainnet,0x40452c1ad1eff9abfc971bd826870e48f77db673,exchange,binance,heuristic,exchange
ethereum_mainnet,0x123477fd361193fd7726aeff55201506b5683a10,exchange,binance,heuristic,exchange
ethereum_mainnet,0x9a5bc5992c004d20074a2405792b2c5067be841b,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0x77f57fa67d9a7e75d80f28fd7d13e630568fe86e,exchange,binance,heuristic,exchange
ethereum_mainnet,0xd2005ffdce2d08bea2a8329275fa36016d115bf0,cex,kucoin,external,exchange
bitcoin_mainnet,14thwryduxcse6u8eguijyuxsyrped6kiu,cex,binance,external,exchange
ethereum_mainnet,0xef567af8cfb2abe7dd885b8a0a49a36f89e5c6ce,exchange,binance,heuristic,exchange
ethereum_mainnet,0xd69770e152f902be067d0007e06a23b96be2a86a,exchange,binance,heuristic,exchange
ethereum_mainnet,0x2bb47a3cbb5da524de2bf5b850bc978e91a27259,cex,coinbase,ground_truth,exchange
ethereum_mainnet,0xf8cffef3cee4b2e251a3517561e4391287debd58,exchange,binance,heuristic,exchange
ethereum_mainnet,0x269a7b1a9b440eb9cea8895879c7c5097919284f,exchange,binance,heuristic,exchange
ethereum_mainnet,0x688b78fe6fab82caa32613ac3926c8371ecb2009,cex,max,ground_truth,exchange
ethereum_mainnet,0xa250c8e4234a2054312c7ac4d90b26db55faeeaf,exchange,binance,heuristic,exchange
ethereum_mainnet,0x38f5ffb26caea8479c3ba7996f24ef3ee0482bdc,exchange,binance,heuristic,exchange
ethereum_mainnet,0x280476bd88b3e1b4e813eb32d4ab4c115342ac35,exchange,binance,heuristic,exchange
ethereum_mainnet,0x55427802e799dcac21aa1da568a68f5367e55207,exchange,binance,heuristic,exchange
ethereum_mainnet,0xb68aadb737934564e7769668c54099b43b646724,cex,coinbase,heuristic,exchange
ethereum_mainnet,0x8d4e75929f8075dc9dd933385e52f62dd57bac52,exchange,binance,heuristic,exchange
ethereum_mainnet,0x14086f97ed900e921ebf9734329ad14b5fcd4f6e,cex,stormgain,ground_truth,exchange
ethereum_mainnet,0x1a4f7422150c990b23aae76df596c538824d91b7,exchange,binance,heuristic,exchange
ethereum_mainnet,0xcd35cf1f99e6335f68da4672c84923f216e7710b,exchange,binance,heuristic,exchange
ethereum_mainnet,0x4878184c604f1c62653b1fde4d62e90d1dca2c45,exchange,binance,heuristic,exchange
ethereum_mainnet,0x30fe9e60216be579e652d6c038ab22ac43cfb40e,exchange,binance,heuristic,exchange
ethereum_mainnet,0x378d616bbc441e68fdb5395b16b1ae7a8e16fb00,exchange,binance,heuristic,exchange
ethereum_mainnet,0xeb6b4ac10213157730c1bcf33a64b4f4ae860cd9,exchange,binance,heuristic,exchange
bitcoin_mainnet,1aj5y2n6bdxtkw81cn9vrkatjpi9vbpfzr,cex,,external,exchange
ethereum_mainnet,0xe3dd02984da3165064724eae87fd057686f0d776,exchange,binance,heuristic,exchange
ethereum_mainnet,0x4a9cfa83160b5f0052141112846c73b406fe4789,exchange,binance,heuristic,exchange
ethereum_mainnet,0x9ea533c1bb747cabb3924fec6f04788cc77d9431,exchange,binance,heuristic,exchange
ethereum_mainnet,0xae51f852796d23a03140a28935dd30370d6e131d,exchange,binance,heuristic,exchange
ethereum_mainnet,0xab24449da381960e5d3d34cbe04d558081f71a17,cex,hotbit,ground_truth,exchange
ethereum_mainnet,0x4bc1a5340a510249aed01c84923deb6952ff4ae5,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0xa16825fb4183731a4951578eaf7fcec38ddca900,exchange,binance,heuristic,exchange
ethereum_mainnet,0x19271c0abfa0634003f92c053c6bef1f2e05298b,exchange,binance,heuristic,exchange
bitcoin_mainnet,1mnhhs4nuvea9cgqg8grhrtgmhvmmwm6gu,cex,,external,exchange
ethereum_mainnet,0xc680c34502685e67ff73594ac022aee5f36a2f6e,exchange,binance,heuristic,exchange
ethereum_mainnet,0x0463ff5e70aa6a5d7deb0c8acb7e4659e39ad85d,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0x805604a69c63c36ffefaa3c8f2aa0e8a321a6a51,exchange,binance,heuristic,exchange
ethereum_mainnet,0x3d20bb7781ea59520953bb0ed629ed99089ef1fa,exchange,binance,heuristic,exchange
bitcoin_mainnet,1fzhr9hwcedr1ajnd1wcithx2cbwmehqqd,cex,,external,exchange
ethereum_mainnet,0xbd4cd8ee3738d1d33bcea06ec6d51126b066788f,exchange,binance,heuristic,exchange
ethereum_mainnet,0x305046159aea1a9f1ef474b9bb7e6491588d4ca6,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0xb977eeddb2a0c17bd78e3345cacec31d05546598,exchange,binance,heuristic,exchange
bitcoin_mainnet,16tphob5smcqsq2jythrgqdaqi381zahbl,cex,coinbase,heuristic,exchange
ethereum_mainnet,0x1f094d8207b28ab99a990d663bfb374167b3de1f,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0x1cc910e809d0e73617f33ac0fd9a699d1c128f5c,exchange,binance,heuristic,exchange
ethereum_mainnet,0xd3307fa1ea24210951bed50d6d448718e66a3419,exchange,binance,heuristic,exchange
bitcoin_mainnet,19f9vyfs2suav8fqetxsuvzfsulxa9r9sp,cex,,external,exchange
ethereum_mainnet,0x1aa421164f8f68a39b5672cf34327f77ff80cd57,exchange,binance,heuristic,exchange
ethereum_mainnet,0xba5b3bcee07d3d648d907b30dd511ca549b1fd5b,exchange,binance,heuristic,exchange
ethereum_mainnet,0x236d8494d31793523d81526fd17d3b8d8834370d,exchange,binance,heuristic,exchange
ethereum_mainnet,0x07311e8dcb3e736d3c5b6150cb6c64cc65ec9494,exchange,binance,heuristic,exchange
bitcoin_mainnet,1gd5h4oaklbjg9emj5fhqng25fw5xr2sty,cex,,external,exchange
ethereum_mainnet,0x95bd0970685376bcacb03152f0da4e191ceca61d,exchange,binance,heuristic,exchange
ethereum_mainnet,0xcf7793b9e773805ed393cda72e4003d4de421701,cex,binance,external,exchange
ethereum_mainnet,0xf9e9f57431354767cb8d81d3d95233096e8a83c0,exchange,binance,heuristic,exchange
ethereum_mainnet,0x2a1772a2ae4f7d40cdeba36640dab96cf51772b4,exchange,binance,heuristic,exchange
ethereum_mainnet,0x534536e7620a02d9af2072057d79fae306d0ad5f,cex,plusqo,external,exchange
ethereum_mainnet,0x584d839b6a42c95853d970472757ff72677936c2,exchange,binance,heuristic,exchange
ethereum_mainnet,0xea1f70b260fb86b141bd77d554d4c0017003f8a3,exchange,binance,heuristic,exchange
ethereum_mainnet,0x8c443350de776af7a8bb617046ccccc7736ccac9,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0x9c901e311331284bd312c87270ea45e3ad2cf5dd,exchange,binance,heuristic,exchange
ethereum_mainnet,0xf94ec86735e69557db951f5415ec3f056f201418,exchange,binance,heuristic,exchange
ethereum_mainnet,0xa0241b120c23fa756b1cf22cf520d5fc751fef05,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0x2d338a50b2c276379f07e9e9080bfa89af6b9a03,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0x21ed7488949b6d5a5d8ac6ed41bb8f70b3c6a6e3,cex,kucoin,external,exchange
ethereum_mainnet,0xbec2bcd5050567a69516a3f4e90d57f2defc3ef4,"cex,exchange",binance,heuristic,exchange
ethereum_mainnet,0x3a63176417a2b9c2ffb699cd2a61df8698aab670,cex,bitget,ground_truth,exchange
ethereum_mainnet,0x51371138480bb9419f116f34ede1513af3f0b86e,exchange,binance,heuristic,exchange
bitcoin_mainnet,1fwstrl51ic4zdymcwalqnnwymcym8fyzj,cex,,external,exchange
